"arr = [n, n−1, ..., 3, 2, 1]"
,2^5,2^6,2^7,2^8,2^9
Quick Sort,0.0045,0.0078,0.0077,0.0081,0.0222
Randomized Quick Sort,0.0079,0.0082,0.009,0.0111,0.026
Merge Sort,0.0092,0.0101,0.0081,0.0064,0.0069

"arr is a random permutation of [1, 2, ..., n]"
,2^5,2^6,2^7,2^8,2^9
Quick Sort,0.0078,0.008,0.007,0.0065,0.007
Randomized Quick Sort,0.0072,0.0075,0.0077,0.0083,0.0074
Merge Sort,0.0072,0.0102,0.0079,0.0077,0.0086

"arr = [1, 3, . . . , n − 1, 2, 4, ... , n]"
,2^5,2^6,2^7,2^8,2^9
Quick Sort,0.0079,0.0077,0.0084,0.0084,0.0226
Randomized Quick Sort,0.0075,0.0076,0.0075,0.0074,0.0086
Merge Sort,0.0081,0.0082,0.0082,0.008,0.0087
